subj_idx,rt,response,type,pre_Ne,pre_Pe
100,0.562,1,error,-15.46309657,2.026680786
100,0.406,1,correct,3.715204503,8.361710225
100,0.388,1,correct,0.063426773,-3.433686005
100,0.458,1,correct,5.844370993,-0.260232455
100,0.552,0,correct,2.8020658,9.287178783
100,0.636,1,error,-1.857060021,-11.71399176
100,0.43,1,correct,5.574591335,-1.943935992
100,0.534,1,correct,3.117712648,4.4391267
100,0.496,1,correct,3.40221326,-2.330602426
100,0.418,1,correct,1.64265975,-0.198185287
100,0.334,1,correct,-1.073320849,-7.802627903
100,0.468,1,correct,1.235543666,1.265488647
100,0.356,1,correct,-0.660560935,1.524160283
100,0.342,1,correct,-1.344812004,-3.735662614
100,0.412,1,correct,-0.640253981,2.545270619
100,0.456,1,correct,1.004037942,-2.718594531
100,0.426,1,correct,3.835413246,-0.167351478
100,0.37,1,correct,2.055644234,4.885387568
100,0.53,1,correct,-0.880116894,0.785047544
